series,season,episode,title,imdb url,user rating,user votes,date,stardate,director,writer,featured characters,main cast,recurring cast,,
TOS,2,20,Return to Tomorrow,http://www.imdb.com/title/tt0708445/,7.5,584,9-Feb-68,4768.3,Ralph Senensky,John Kingsbridge,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,21,Patterns of Force,http://www.imdb.com/title/tt0708442/,7.5,649,16-Feb-68,2534,Vincent McEveety,John Meredyth Lucas,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,22,By Any Other Name,http://www.imdb.com/title/tt0708422/,7.6,631,23-Feb-68,4657.5,Marc Daniels,Jerome Bixby,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,23,The Omega Glory,http://www.imdb.com/title/tt0708474/,6.5,617,1-Mar-68,Unknown,Vincent McEveety,Gene Roddenberry,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,24,The Ultimate Computer,http://www.imdb.com/title/tt0708481/,7.9,624,8-Mar-68,4729.4,John Meredyth Lucas,Laurence N. Wolfe,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,25,Bread and Circuses,http://www.imdb.com/title/tt0708421/,7.2,626,15-Mar-68,4040.7,Ralph Senensky,Gene Roddenberry,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,26,Assignment: Earth,http://www.imdb.com/title/tt0708419/,7.6,691,29-Mar-68,Unknown,Marc Daniels,Gene Roddenberry,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,3,1,Spock's Brain,http://www.imdb.com/title/tt0708449/,5.6,668,20-Sep-68,5431.4,Marc Daniels,Lee Cronin,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,3,2,The Enterprise Incident,http://www.imdb.com/title/tt0708464/,8.4,715,27-Sep-68,5027.3,John Meredyth Lucas,D. C. Fontana,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,3,3,The Paradise Syndrome,http://www.imdb.com/title/tt0708475/,6.8,599,4-Oct-68,4842.6,Jud Taylor,Margaret Armen,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
